,한국per,한국pbr,코스피per,코스피pbr,코스닥per,코스닥pbr,고객예탁금조,CMA잔고조,국내주식형펀드조,해외주식현펀드조,코스피신용조,코스닥신용조,코스피기관수급조,코스피외국인수급조,코스피개인수급조,코스닥기관수급조,코스닥외국인수급조,코스닥개인수급조,한국수정일드갭,미국수정일드갭,비트코인과거보정,S&P500지수,상해종합주가,니케이지수,월간수출액백만불,월간수입액백만불,월간선박수출액,월간핸드폰수출액,월간기계수출액,월간석유화학수출액,월간철강수출액,월간반도체수출액,월간자동차수출액,월간자동차부품수출액,월간석유제품수출액,월간화장품수출액,월간중국향수출액,월간중국향수입액,월간미국향수출액,월간미국향수입액,외환보유액,가계부채,정부부채,신규주택허가,신규주택착공,아파트미분양전국,미국경기선행지수,중국경기선행지수,유가WTI,천연가스,금,은,구리,옥수수,대두,필라델피아반도체지수,USD/CNY환율,USB/KRW환율,JPY/KRW환율,한국기준금리,미국기준금리,일본기준금리,중국기준금리,한국국채10년물,미국국채10년물,한국국채1년물,미국국채1년물,본원통화조,M1조,M2조,한국신용스프레드,미국신용스프레드
Feb-24,22.02,1.04,18.78,0.96,182.73,1.87,54.6,77.6,67.1,40.1,9.93,8.68,0.67,7.79,-8.46,-1.56,0.38,1.18,4,-1.8,60562,5069,3015.2,39166.2,52403,48112,1981,1037,4488,3939,2675,9946,5156,1982,4414,718,9653,9410,9806,5599,4158,1768,1194,8.4,5,64874,99.5,100.3,78.5,1.9,2042.7,22.6,8340.5,428.5,1145.3,4602.6,7.2,1334.05,8.85,3.5,5.5,-0.1,3.5,3.5,4.3,3.5,5,270,1231,3968,0.65,1.22
Mar-24,23.7,1.09,20.24,1,162.87,1.94,55.2,73.7,69.3,42.4,10.38,9.1,1.17,4.42,-5.59,-0.75,0.7,0.06,3.7,-1.9,70702,5254,3041.2,40369.4,56572,52281,2136,1119,4319,4028,2884,11671,6169,1911,4642,779,10521,11400,10882,5973,4157,1767,1194,8.4,5,64964,99.7,100.1,83.2,1.8,2238,24.9,8729,442,1191,4905.2,7.23,1349.48,8.91,3.5,5.5,-0.1,3.5,3.4,4.2,3.4,5,280,1276,4014,0.6,1.13
Apr-24,21.51,1.06,18.42,0.98,147.01,1.93,55.7,76.6,66.6,43.4,10.38,8.81,-3.33,3.39,-0.06,-0.58,-0.97,1.54,4,-2.3,62944,5116,3104.8,38405.7,56262,54732,1710,1148,4677,4287,2821,9955,6788,1961,4366,855,10476,12420,11402,6012,4193,1767,1194,10.8,7.8,71997,99.8,99.9,82.6,2,2357.7,27.7,9935,449.3,1182,4765.8,7.23,1374.67,8.79,3.5,5.5,0.1,3.5,3.7,4.6,3.5,5.2,269,1222,3971,0.47,1.09
May-24,20.18,1.03,17.17,0.95,195.25,1.84,56.3,84.4,66.7,46.6,10.61,9.15,1.09,-1.33,0.25,0.2,0.38,-0.57,4.8,-2.2,68469,5235.5,3086.8,38487.9,58042,53187,2061,1248,4304,4084,2924,11379,6489,1836,4604,881,11378,12286,10930,6369,4133,1767,1194,9.2,6.6,72129,99.9,99.8,77.9,2.6,2366,31.5,10016.5,448.8,1209.8,5173.3,7.23,1374.74,8.77,3.5,5.5,0.1,3.5,3.6,4.5,3.4,5.2,278,1229,4009,0.42,1.06
Jun-24,21.23,1.08,18.22,1,198.4,1.86,56,80.1,66.8,50.1,11.05,9.04,-1.66,4.6,-2.95,-0.86,0.67,0.2,4.3,-2.1,61403,5482.9,2967.4,39583.1,57064,49073,1540,1060,4106,3722,2562,13420,6200,1757,3626,782,10707,10936,11297,5493,4128,1780,1194,9,6.8,74037,99.9,99.8,81.7,2.7,2336.6,29.3,9422.5,422.5,1104.8,5421.1,7.27,1386.35,8.62,3.5,5.5,0.1,3.5,3.3,4.3,3.3,5.1,278,1267,4040,0.48,1.13
Jul-24,18.2,1.07,15.67,0.99,178.27,1.78,55.5,83.6,66.4,51.8,10.85,8.61,1.91,1.69,-3.6,-0.6,0.01,0.59,6,-1.5,66173,5436.4,2938.8,39101.8,57469,53870,1084,1462,4947,4185,2793,11197,5367,2215,4532,833,11404,11942,10179,7916,4122,1780,1194,8.6,6.5,71822,99.9,99.7,74.7,2.1,2451.9,28.5,8906,405,1021.3,4890.2,7.25,1382.81,9.05,3.5,5.5,0.1,3.5,3.1,4.1,3.2,4.8,278,1221,4042,0.46,1.26
Aug-24,16.91,1.01,14.59,0.94,153.31,1.67,53.7,87.9,65.9,52.3,10.13,7.72,-0.33,-2.8,3.13,-0.1,0,0.11,6.7,-0.9,59530,5592,2842.2,38647.8,57834,54065,2836,1814,3857,4159,2811,11878,5066,1836,4479,844,11341,11483,9953,6255,4122,1780,1194,11.1,6.8,67550,99.9,99.7,75.9,2.1,2560.3,30,9116,396,992.5,5029.3,7.1,133.24,9.22,3.5,5.5,0.1,3.5,3.1,3.9,3.1,4.4,284,1232,4072,0.55,5.96
Sep-24,16.47,0.98,14.15,0.91,154.38,1.66,52,86.8,66.2,53.4,10.18,7.37,2.08,-7.91,5.83,-0.1,0.26,-0.25,7.1,-0.6,64810,5738,3336.5,37919.6,58775,52119,2387,1916,3809,3839,2771,13622,5483,1813,4043,926,11686,11220,10424,5462,4159,1796,1194,12.4,6.5,66776,100,99.7,68.2,2.9,2668.1,31.8,9860,418,1065.8,5217.2,7.01,1308.3,9.25,3.5,5.5,0.1,3.5,3,3.7,2.8,3.9,282,1246,4078,0.59,5.09
Oct-24,15.11,0.97,12.98,0.9,152.62,1.64,50.7,84.7,65.4,56,10.45,7.38,0.53,-4.7,4.17,-0.54,0.04,0.5,6.8,-1.7,72843,5813.7,3279.8,39081.3,57500,54347,2030,2049,3965,3986,2872,12544,6024,1875,3372,1037,11686,11220,10424,5462,4200,1796,1194,9.1,7.5,65836,100.1,99.8,68.6,2.9,2800.8,34.1,9356,411.5,991.3,5153.5,7.12,1378.27,9.02,3.3,5,0.3,3.4,3.1,4.3,2.9,4.3,272,1238,4117,0.57,5.28
Nov-24,14.57,0.92,12.53,0.86,243.15,1.48,52.2,86.5,63.1,57.8,9.76,6.83,2.18,-4.3,2.12,0.74,-0.18,-0.56,7.7,-1.8,96412,5998.7,3326.5,38208,56321,50735,2519,1704,3987,3572,2687,12453,5639,1769,3651,921,11267,11446,10380,5428,4157,1796,1194,9.9,5.7,65146,100.2,99.9,68.7,3.2,2639.9,30.1,8925,428,988.8,4853,7.25,1388.58,9.21,3,5,0.3,3.1,2.8,4.3,2.8,4.3,272,1238,4117,0.58,6.2
Dec-24,14.31,0.9,12.25,0.84,248.94,1.49,50.63,86.2,62.1,63.8,9.25,6.57,3.47,-3.04,-0.43,0.36,0.72,-1.08,7.9,-2.1,94384.5,5970.8,3407.3,39894.5,61369,54877,3085,1352,4341,3867,2775,14505,6049,1875,3937,875,11267,11446,10380,5428,4154,1796,1194,9.9,5.7,65146,100.4,100.1,70.6,3.4,2631.9,30,8843,454,989.8,5123,7.3,1472.5,9.34,3,4.8,0.3,3.1,2.9,4.6,2.7,4.2,272,1238,4117,0.69,3.62
Jan-25,14.18,0.96,12.34,0.89,292.07,1.62,52.8,87.1,65.1,66.1,9.69,7.06,-0.69,0.23,0.46,-0.04,-0.55,0.59,7,-2.1,103124.76,6188.7,3252.6,39932,61369,54877,3085,1352,4341,3867,2775,14505,6049,1875,3937,875,11267,11446,10380,5428,4156,1796,1194,9.9,5.7,65146,100.4,100.1,74.6,3.5,2765,30.8,9056,489.8,1065.5,5444.7,7.29,1434.3,9.21,3,4.5,0.3,3.1,2.9,4.6,2.6,4.2,272,1238,4117,0.64,7.24
